LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-33,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-21,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,40:ED:00:17:E0:D8,-47, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,,40:ED:00:17:E0:D8,-46, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,40:ED:00:17:E0:D8,-46, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-21,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-21,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-21,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-21,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-25,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-25,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-30,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-31,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:28,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,,34:E6:AD:BA:A0:54,-61,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,,34:E6:AD:BA:A0:54,-60,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,,34:E6:AD:BA:A0:54,-60,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:29,1900-01-00 00:00:00,,34:E6:AD:BA:A0:54,-61,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:29,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-30,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-30,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-30,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-32,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,34:E6:AD:BA:A0:54,-56,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,,34:E6:AD:BA:A0:54,-53,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-43,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-43,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-43,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-43,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-43,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-43,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-45,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-34,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-33,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-27 20:50:30,1900-01-00 00:00:00,,02:26:02:03:25:E0,-46,,0.000000,0.000000,0.000,0.000,Client
2024-11-27 20:50:30,1900-01-00 00:00:00,Struhar 2.4GHz,40:ED:00:17:E0:D8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
